Date,^GSPC,^RUT,^DJI,^IXIC,AGG,DBC,^VIX
2015-11-10,2081.719970703125,1187.699951171875,17758.2109375,5083.240234375,92.15809631347656,14.341012001037598,15.289999961853027
2015-11-11,2075.0,1178.0699462890625,17702.220703125,5067.02001953125,92.03907012939453,14.195269584655762,16.059999465942383
2015-11-12,2045.969970703125,1154.81005859375,17448.0703125,5005.080078125,92.12406158447266,13.991230964660645,18.3700008392334
2015-11-13,2023.0400390625,1146.550048828125,17245.240234375,4927.8798828125,92.30268096923828,13.884353637695312,20.079999923706055
2015-11-16,2053.18994140625,1156.0799560546875,17483.009765625,4984.6201171875,92.37920379638672,13.95236587524414,18.15999984741211
2015-11-17,2050.43994140625,1153.2099609375,17489.5,4986.02001953125,92.44722747802734,13.738611221313477,18.84000015258789
2015-11-18,2083.580078125,1171.75,17737.16015625,5075.2001953125,92.37920379638672,13.796908378601074,16.850000381469727
2015-11-19,2081.239990234375,1166.72998046875,17732.75,5073.64013671875,92.42170715332031,13.796908378601074,16.989999771118164
2015-11-20,2089.169921875,1175.1500244140625,17823.810546875,5104.919921875,92.36217498779297,13.77747631072998,15.470000267028809
2015-11-23,2086.590087890625,1180.3599853515625,17792.6796875,5102.47998046875,92.38773345947266,13.884353637695312,15.619999885559082
2015-11-24,2089.139892578125,1188.81005859375,17812.189453125,5102.81005859375,92.47272491455078,14.10782527923584,15.930000305175781
2015-11-25,2088.8701171875,1198.02001953125,17813.390625,5116.14013671875,92.51525115966797,14.08839225769043,15.1899995803833
2015-11-27,2090.110107421875,1202.3800048828125,17813.390625,5127.52001953125,92.48975372314453,13.874637603759766,15.119999885559082
2015-11-30,2080.409912109375,1198.1099853515625,17719.919921875,5108.669921875,92.52373504638672,13.787192344665527,16.1299991607666
2015-12-01,2102.6298828125,1204.1600341796875,17888.349609375,5156.31005859375,92.84797668457031,13.94265079498291,14.670000076293945
2015-12-02,2079.510009765625,1191.68994140625,17729.6796875,5123.22021484375,92.737060546875,13.651165962219238,15.90999984741211
2015-12-03,2049.6201171875,1170.5699462890625,17477.669921875,5037.52978515625,92.05445861816406,13.806624412536621,18.110000610351562
2015-12-04,2091.68994140625,1183.4000244140625,17847.630859375,5142.27001953125,92.35311889648438,13.787192344665527,14.8100004196167
2015-12-07,2077.070068359375,1164.300048828125,17730.509765625,5101.81005859375,92.48965454101562,13.388830184936523,15.84000015258789
2015-12-08,2063.590087890625,1159.4000244140625,17568.0,5098.240234375,92.52377319335938,13.320817947387695,17.600000381469727
2015-12-09,2047.6199951171875,1145.8699951171875,17492.30078125,5022.8701171875,92.52377319335938,13.330533981323242,19.610000610351562
2015-12-10,2052.22998046875,1149.02001953125,17574.75,5045.169921875,92.50662994384766,13.281953811645508,19.34000015258789
2015-12-11,2012.3699951171875,1123.6099853515625,17265.2109375,4933.47021484375,92.737060546875,13.145927429199219,24.389999389648438
2015-12-14,2021.93994140625,1115.8599853515625,17368.5,4952.22998046875,92.30191040039062,13.05848217010498,22.729999542236328
2015-12-15,2043.4100341796875,1131.550048828125,17524.91015625,4995.35986328125,92.31045532226562,13.02933406829834,20.950000762939453
2015-12-16,2073.070068359375,1148.969970703125,17749.08984375,5071.1298828125,92.14835357666016,12.971037864685059,17.860000610351562
2015-12-17,2041.8900146484375,1135.3599853515625,17495.83984375,5002.5498046875,92.27631378173828,12.83501148223877,18.940000534057617
2015-12-18,2005.550048828125,1121.02001953125,17128.55078125,4923.080078125,92.47254180908203,12.893308639526367,20.700000762939453
2015-12-21,2021.1500244140625,1127.739990234375,17251.619140625,4968.919921875,92.38723754882812,12.83501148223877,18.700000762939453
2015-12-22,2038.969970703125,1137.68994140625,17417.26953125,5001.10986328125,92.31897735595703,12.776714324951172,16.600000381469727
2015-12-23,2064.2900390625,1152.8199462890625,17602.609375,5045.93017578125,92.30191040039062,13.009902000427246,15.569999694824219
2015-12-24,2060.989990234375,1154.760009765625,17552.169921875,5048.490234375,92.34637451171875,13.009902000427246,15.739999771118164
